Subnum,Task,Condition,Gender,Ethnicity,Race,Age,image_name,naturalness,disorderliness,aesthetic,Order,BestOption,HighFreqOption,Hue,Bright,Saturaton,SDhue,SDsat,Sdbright,Entropy,Perc_Nat,pc1f,pc2f,pc3f,pc4f,SED,total_ED,NSED
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban32,1.0,7.0,2.0,IGT_SGT,0,0,0.158585044,1.925018598,0.070752672,0.320045799,0.082009168,0.266840139,7.352129676,1.262238985,-0.073000926,0.060783882,0.013794093,-0.017683997,0.12486387,0.091725533,0.0187909
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS164,4.0,7.0,7.0,IGT_SGT,0,0,0.215627934,0.967872696,0.479972802,0.21919817,0.325991932,0.237461441,7.612112934,2.286157025,-0.06121263,-0.006740804,-0.052612883,-0.114589,0.058818231,0.123270641,0.141018967
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban39,1.0,7.0,3.0,IGT_SGT,0,0,0.14200207,-1.099522821,0.10083813,0.349443224,0.10593131,0.233579265,7.148464105,1.792370042,-0.037912771,-0.041625099,0.052978915,-0.028106904,0.110585185,0.076085185,0.072644444
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS160,4.0,2.0,3.0,IGT_SGT,0,0,0.544639907,0.41665367,0.204668595,0.296340903,0.134864584,0.275352276,7.424671374,2.205933054,-0.072895257,-0.012799007,0.011409996,0.010441755,0.052993262,0.109688778,0.086978298
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS129,3.0,4.0,4.0,IGT_SGT,0,0,0.297186914,-1.005754527,0.409293728,0.277153527,0.275536573,0.21313888,7.615146185,2.291389555,-0.052601061,0.040406683,-0.056404291,0.014068842,0.046959113,0.135021527,0.147218717
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS18,1.0,7.0,4.0,IGT_SGT,0,0,0.211711834,1.193357171,0.162410123,0.243916323,0.183455331,0.210288185,7.699277276,1.417868844,-0.06839801,0.018790069,0.014927832,-0.021088143,0.045846897,0.13284573,0.125207366
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban42,1.0,3.0,4.0,IGT_SGT,0,0,0.224553592,-2.427187121,0.097082939,0.09439014,0.15051067,0.288910563,6.871592274,1.262238985,-0.046554087,-0.110565468,0.102103811,0.008744578,0.114762963,0.086188889,0.047644444
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban3,1.0,3.0,5.0,IGT_SGT,0,0,0.154062044,0.972566713,0.11380264,0.306967823,0.182929351,0.319624071,7.411958148,1.194945963,-0.060108662,-0.063298274,0.052949367,0.061066569,0.045369466,0.044715881,0.094091813
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS97,4.0,3.0,4.0,IGT_SGT,0,0,0.287951526,1.412128031,0.270023841,0.179189059,0.216587509,0.268471617,7.756447226,2.249333708,-0.059802031,-0.004862849,-0.091974112,0.096912663,0.025838216,0.128513972,0.163973252
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS49,1.0,7.0,5.0,IGT_SGT,0,0,0.329148624,3.654930952,0.331491432,0.277530987,0.264063904,0.237972608,7.558185443,1.572008411,-0.071802997,0.00719861,0.071496043,0.004804093,0.122617475,0.090790154,0.064920149
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban7,1.0,7.0,4.0,IGT_SGT,0,0,0.170667533,-0.73164511,0.104447407,0.230310499,0.100560783,0.246008954,7.006296768,1.169342022,-0.041591781,-0.003020456,-0.063577591,0.116818154,0.014235,0.083092008,0.1463486
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban15,2.0,4.0,2.0,IGT_SGT,0,0,0.182345021,-1.405426848,0.067979407,0.198159196,0.130925001,0.306912793,7.016793089,1.324685803,-0.06295407,-0.093586322,-0.007194419,0.085511724,0.064341691,0.102297986,0.111513654
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban17,1.0,2.0,2.0,IGT_SGT,0,0,0.180419775,-0.107637938,0.092621316,0.141245622,0.144284996,0.308853057,7.585478928,1.387751235,-0.068599174,-0.004487535,0.009811002,0.028475548,0.052666006,0.091060496,0.112847292
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS158,4.0,2.0,3.0,IGT_SGT,0,0,0.328813553,1.088349567,0.18105451,0.252583776,0.139626174,0.263957515,7.530328512,1.839698763,-0.052394194,-0.057666339,0.035663359,0.002733926,0.035756621,0.112718498,0.125395218
